day_of_week,Borough,count
Friday,BROOKLYN,1
Friday,MANHATTAN,2
Friday,QUEENS,1
Monday,QUEENS,1
Saturday,BROOKLYN,1
Sunday,MANHATTAN,1
Tuesday,BROOKLYN,1
Tuesday,MANHATTAN,1
