Month,Borough,Complaint Type,count
Apr,BROOKLYN,Illegal Parking,2
Aug,BROOKLYN,Illegal Parking,3
Dec,BROOKLYN,Illegal Parking,1
Feb,BROOKLYN,Illegal Parking,4
Jul,BROOKLYN,Illegal Parking,4
Jun,BROOKLYN,Illegal Parking,8
Mar,BROOKLYN,Illegal Parking,1
May,BROOKLYN,Illegal Parking,6
Nov,BROOKLYN,Illegal Parking,1
Oct,BROOKLYN,Illegal Parking,5
Sep,BROOKLYN,Illegal Parking,27
